Region,Category,2015,2016,2017
World,Arrivals,1195,1239,1323
World,Percentage Annual Change,5.1,3.7,6.8
Africa,Arrivals,53.6,57.8,63
Africa,Percentage Annual Change,-2.5,7.9,9
Africa,Percentage Share in world,4.5,4.7,4.8
Americas,Arrivals,193.7,200.7,207.3
Americas,Percentage Annual Change,6.5,3.6,3.3
Americas,Percentage Share in world,16.2,16.2,15.7
Asia & The Pacific,Arrivals,284.1,305.9,323.2
Asia & The Pacific,Percentage Annual Change,5.4,7.7,5.6
Asia & The Pacific,Percentage Share in world,23.8,24.7,24.4
Europe,Arrivals,605.1,619,671.1
Europe,Percentage Annual Change,5.2,2.3,8.4
Europe,Percentage Share in world,50.6,50,50.7
Middle East,Arrivals,58.1,55.6,58.2
Middle East,Percentage Annual Change,4.9,4.3,4.6
Middle East,Percentage Share in world,4.9,4.5,4.4
India,Arrivals,13.28,14.57,15.54
India,Percentage Annual Change,1.3,9.7,6.7
India,Percentage Share in world,1.11,1.18,1.17
