,STATE/UT,DOMESTIC 2017,FOREIGN 2017,DOMESTIC 2018,FOREIGN 2018,DOMESTIC GROWTH RATE,FOREIGN GROWTH RATE
1,Andman & nicobar,498279,15313,498279,15242,5.59,-0.46
2,Andhra pradesh,194767874,271362,194767874,281023,17.73,3.58
3,Arunachal ,512436,7147,512436,7653,15.41,7.08
4,Assam,33621613,21760,5856282,36846,-3.24,69.33
5,Bihar,1538796,1082705,33621613,1087971,3.73,0.49
6,Chandigarh,19329501,31932,1538796,39681,7.93,24.66
7,Chattisgarh,609435,6701,19329501,14399,11.41,114.88
8,Dadar & nagar haveli,898824,1908,609435,1608,-0.77,-15.72
9,Daman & Diu,674678,5535,898824,5694,4.74,2.87
10,Delhi,29114423,2740502,29114423,2740502,0,0
11,Goa,7081559,8452220,408159,9333841,2.7,10.88
12,Gujrat,54369873,448853,54369873,513113,12.47,14.32
13,Haryana,3888952,193381,16093935,73977,-19.2,-61.75
14,Himachal Pradesh,16093935,470992,35408822,356568,-15.87,-24.29
15,Jharkhand,35408822,170987,24245330,175801,5,2.82
16,J & k,17076315,70765,17076315,139520,19.96,74.91
17,Karnataka,214306456,498148,214306456,543716,19.07,9.15
18,Kerala,15604661,1091870,15604661,1096407,6.35,0.42
19,Lakshwadweep,10435,1027,1045,1313,57.63,27.85
20,MP,83969799,359119,83969799,375476,7.6,4.55
21,Maharashtra,119191539,5078514,119191539,5012514,0,0
22,Manipur,176109,3497,176109,6391,14.76,82.76
23,Meghalaya,1198340,12051,1198340,18114,20.74,50.31
24,Mizoram,76551,1155,76551,961,12.95,-16.28
25,Nagaland,101588,4166,101588,5010,60.33,20.26
26,Odisha,15208540,100014,15208540,110818,8.55,10.8
27,Puducherry,1616660,131407,1616660,141133,5.53,7.4
28,Punjab,44595061,1108635,44595061,1200969,10.68,8.33
29,Rajasthan,50235643,1609963,50235643,1754348,9.41,8.97
30,Sikkim,1426127,49111,1426127,71172,3.65,44.92
31,Tamil nadu,38590976,4860455,3859376,6074345,11.84,24.97
32,Telengana,92878329,251846,92878329,318154,8.93,26.33
33,Tripura,414388,69899,414388,102861,3.94,47.16
34,Uttar pradesh,285079848,3556204,385079848,3780752,21.84,6.31
35,Uttrakhand,35609650,133725,35609650,151320,3.64,13.16
36,West bengal,85657365,1574915,85657365,1617105,7.57,2.68
