YEARS, IN RUPEES,CHANGE OVER YEARS (rupees),US $ MILLION,CHANGE OVER YEARS (dollars)
2001,3198,12.3,15083,0
2002,3103,23.9,15064,0.5
2003,4463,37.6,20729,43.8
2004,6170,34.8,27944,38.2
2005,7493,18.5,33123,21.4
2006,8634,17.8,39025,15.2
2007,10729,13.7,44362,24.3
2008,11832,15.6,51294,10.3
2009,11136,4.8,53754,5.9
2010,14490,23.1,66172,30.1
2011,17707,25.5,83036,22.2
2012,17971,15.1,95607,1.5
2013,18397,12.5,107563,2.4
2014,19700,11.9,120367,7.1
2015,21013,12,134844,6.7
2016,22923,14.3,154146,9.1
2017,27310,15.4,177874,19.1
2018,28586,9.6,194881,4.7
